admissionRate,mathSat,englishSat,overallCost,graduateCount,femaleProportion,entryAge,dependentProportion,povertyRate,firstGenerationProportion,asianPreportion,blackPreportion,whitePreportion,hispanicPreportion,nativePreportion,endowment,facultySalary,studentExpendature,studentRevenue,studentCount,medianIncome,housingCost,tuitionCost,overallPrice,pellGrantReceivers,federalLoanReceivers,debtAmount,lenders,sixYearEarnings,schoolName,id
0.6653,485.0,450.0,42915.0,78.0,0.3867,20.0,0.900621118,13.4099998474121,0.3605442177,0.02,0.02,0.94,0.0,0.0,18685108.0,5982.0,10189.0,11355.0,706.0,44559.0,9860.0,30020.0,21244.0,0.5807453416,0.8251,26000.0,0.9658385093,39093.0,Alderson Broaddus University,
0.8209,,,24734.0,,0.3718,20.0,0.8692913386,8.75,0.3327526132,0.0223,0.0056,0.9274,0.0391,0.0,7833094.0,6051.0,11695.0,3779.0,3400.0,55015.0,13450.0,15937.0,17248.0,0.662992126,0.6381,13750.0,0.9165354331,43071.0,SUNY College of Technology at Alfred,
0.6716,600.0,480.0,52103.0,497.0,0.5137,19.0,0.9424379233,7.40999984741211,0.245049505,0.08,0.0133,0.7867,0.0467,0.0,181447319.0,6586.0,11189.0,10214.0,1460.0,63665.0,13052.0,34960.0,24627.0,0.5474040632,0.639,26000.0,0.967268623,43208.0,Alfred University,
0.3582,445.0,480.0,27641.0,,0.5024,19.0,0.8945868946,24.5100002288818,0.4678899083,0.0,0.0,0.9655,0.0,0.0,59864522.0,5133.0,5344.0,7313.0,613.0,31403.0,7390.0,14230.0,16293.0,0.698005698,0.5404,19599.0,0.7635327635,32879.0,Alice Lloyd College,
0.7544,615.0,,66972.0,,0.5358,19.0,0.9666254635,6.05000019073486,0.2213333333,0.057,0.0316,0.8038,0.0633,0.0,289066735.0,8079.0,12284.0,16770.0,1538.0,64269.0,13420.0,52530.0,23617.0,0.4721878863,0.6149,27000.0,0.9431396786,47063.0,Allegheny College,
1.0,,,,238.0,0.9204,24.0,0.6384615385,5.69000005722045,,0.0,0.0,0.9487,0.0513,0.0,9135042.0,7528.0,10515.0,22007.0,314.0,55286.0,,19718.0,,0.2653846154,0.6257,18750.0,0.9461538462,60277.0,Allen College,
0.5663,,,25002.0,58.0,0.4014,21.0,0.8659090909,14.539999961853,0.5065616798,0.0244,0.6829,0.2439,0.0,0.0488,380114.0,4459.0,4558.0,9819.0,563.0,49460.0,7894.0,13340.0,13272.0,0.9272727273,0.8254,34290.0,0.925,22484.0,Allen University,
0.9965,481.0,,41924.0,881.0,0.5836,25.0,0.5995423341,13.5,0.3739495798,0.1961,0.1961,0.451,0.1569,0.0,3736796.0,6786.0,8249.0,10358.0,975.0,61585.0,15000.0,26500.0,22414.0,0.7208237986,0.4643,25641.0,0.8375286041,36960.0,Alliance University,
0.6878,,524.0,57306.0,13.0,0.5748,19.0,0.9523121387,6.11999988555908,0.2410714286,0.0989,0.033,0.8462,0.022,0.0,150400534.0,7924.0,10315.0,13487.0,1310.0,61676.0,12138.0,43872.0,23437.0,0.4682080925,0.678,27000.0,0.9566473988,43791.0,Alma College,
0.5777,,475.0,51011.0,504.0,0.6598,24.0,0.6349466776,8.48999977111816,0.4500458295,0.0811,0.027,0.8559,0.027,0.0,18806625.0,7489.0,6683.0,18656.0,2025.0,60334.0,13680.0,39280.0,26771.0,0.5340442986,0.824,27000.0,0.9622641509,46100.0,Alvernia University,
